GAME_ID,TEAM_1,TEAM_2,TEAM_1_STRATEGY,TEAM_2_STRATEGY,TEAM_1_PTS,TEAM_2_PTS,WINNER
22300688,LAC,DET,1,2,136,125,LAC
22300689,MIA,WAS,1,0,110,102,MIA
22300691,IND,SAC,3,3,122,133,SAC
22300692,TOR,HOU,1,3,106,135,HOU
22300693,MEM,GSW,0,4,101,121,GSW
22300694,MIN,ORL,2,1,106,108,ORL
22300696,SAS,NOP,4,4,113,114,NOP
22300697,DEN,POR,4,1,120,108,DEN
22300699,GSW,ATL,3,3,134,141,ATL
22300700,SAC,CHI,3,3,123,115,SAC
22300701,NYK,LAL,1,4,105,113,LAL
22300702,DAL,MIL,2,4,117,129,MIL
22300703,SAS,CLE,3,0,101,117,CLE
22300704,ORL,DET,1,2,111,99,ORL
22300706,BOS,MEM,0,2,131,91,BOS
22300708,LAC,MIA,2,4,103,95,LAC
22300709,MIN,HOU,1,1,111,90,MIN
22300710,TOR,OKC,4,0,127,135,OKC
22300711,UTA,MIL,0,0,123,108,UTA
22300712,POR,DEN,4,4,103,112,DEN
22300714,CLE,SAC,0,0,136,110,CLE
22300715,DAL,PHI,0,1,118,102,DAL
22300716,LAC,ATL,2,3,149,144,LAC
22300718,NOP,TOR,0,4,138,100,NOP
22300719,IND,HOU,4,1,132,129,IND
22300721,ORL,MIA,0,0,95,121,MIA
22300722,NYK,MEM,1,0,123,113,NYK
22300723,CHI,MIN,1,3,129,123,CHI
22300724,UTA,OKC,2,2,124,117,UTA
22300727,GSW,PHI,3,1,127,104,GSW
22300728,WAS,CLE,0,3,106,114,CLE
22300729,BOS,ATL,0,3,125,117,BOS
22300730,SAS,MIA,4,0,104,116,MIA
22300731,NOP,LAC,4,2,117,106,NOP
22300732,SAC,DET,0,4,120,133,DET
22300733,IND,GSW,4,4,109,131,GSW
22300734,SAS,ORL,0,4,111,127,ORL
22300736,NYK,DAL,4,0,108,122,DAL
22300737,CHI,MEM,1,0,118,110,CHI
22300738,MIL,MIN,4,0,105,129,MIN
22300740,DEN,LAL,4,4,114,106,DEN
22300741,DET,POR,1,3,128,122,DET
22300742,ATL,PHI,0,2,127,121,ATL
